N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"56,600",300,+0.53%,100,"3,378,897","5,969,783",49.52,"13,558,262",8.58,13.92,
2,LG에너지솔루션,"491,500","8,500",+1.76%,500,"1,150,110","234,000",4.50,"233,042",816.45,10.68,
3,SK하이닉스,"95,200",300,-0.31%,"5,000","693,058","728,002",50.84,"1,933,417",6.04,16.84,
4,삼성바이오로직스,"830,000","24,000",+2.98%,"2,500","590,744","71,174",10.49,"65,348",110.39,8.21,
5,삼성전자우,"51,700",300,+0.58%,100,"425,432","822,887",71.62,"967,374",7.84,N/A,
6,삼성SDI,"605,000","2,000",+0.33%,"5,000","416,025","68,765",45.15,"192,612",28.22,8.45,
7,LG화학,"575,000","2,000",+0.35%,"5,000","405,906","70,592",48.33,"203,688",20.27,18.47,
8,현대차,"167,000",0,0.00%,"5,000","356,826","213,668",28.94,"656,592",7.41,6.84,
9,기아,"68,700",300,-0.43%,"5,000","278,485","405,363",37.16,"1,006,507",5.26,14.69,
10,NAVER,"167,000","1,500",+0.91%,100,"273,962","164,049",49.93,"1,428,468",27.24,106.72,
11,셀트리온,"169,500","4,500",-2.59%,"1,000","238,642","140,792",21.35,"302,346",42.41,16.04,
12,카카오,"48,350","3,050",-5.93%,100,"215,313","445,322",28.15,"9,658,934",9.67,17.10,
13,POSCO홀딩스,"247,500","1,500",+0.61%,"5,000","209,314","84,571",53.59,"291,598",2.99,13.97,
14,삼성물산,"111,000",500,+0.45%,100,"207,445","186,887",16.52,"235,079",13.22,5.40,
15,KB금융,"45,900",850,-1.82%,"5,000","187,684","408,897",73.72,"1,200,614",4.06,9.80,
16,신한지주,"36,200",500,+1.40%,"5,000","185,682","512,934",61.77,"1,234,356",4.49,8.80,
17,현대모비스,"195,000",0,0.00%,"5,000","184,418","94,573",35.63,"166,495",7.78,6.87,
18,SK,"198,500","7,500",-3.64%,200,"147,186","74,149",22.38,"356,376",4.46,10.19,
19,SK이노베이션,"156,500",500,-0.32%,"5,000","144,709","92,466",25.71,"210,410",5.72,1.91,
20,LG전자,"81,700","1,000",+1.24%,"5,000","133,700","163,648",25.86,"380,630",8.02,6.32,
21,포스코케미칼,"171,000","11,000",+6.88%,500,"132,462","77,463",7.37,"878,475",96.61,7.92,
22,삼성생명,"66,100",500,+0.76%,500,"132,200","200,000",13.11,"227,811",18.11,4.01,
23,LG,"78,900","2,000",+2.60%,"5,000","124,110","157,301",36.17,"198,891",5.42,12.36,
24,고려아연,"616,000","3,000",+0.49%,"5,000","122,357","19,863",21.74,"30,541",13.64,11.07,
25,KT&G,"87,800",500,+0.57%,"5,000","120,543","137,292",42.36,"240,203",11.38,10.74,
26,하나금융지주,"38,300",150,-0.39%,"5,000","113,331","295,903",71.14,"780,826",3.28,10.86,
27,한국전력,"17,100",0,0.00%,"5,000","109,776","641,964",14.68,"1,454,389",-0.71,-7.99,
28,SK텔레콤,"49,000",700,-1.41%,100,"107,228","218,833",46.61,"268,711",8.45,13.63,
29,현대중공업,"117,000",0,0.00%,"5,000","103,865","88,773",5.63,"207,807",-14.06,-14.87,
30,S-Oil,"82,800","2,500",-2.93%,"2,500","93,219","112,583",81.57,"220,577",3.85,21.76,
31,HMM,"19,050",400,+2.14%,"5,000","93,162","489,039",9.50,"1,632,482",0.80,88.62,
32,한화솔루션,"48,600","1,650",+3.51%,"5,000","92,961","191,278",22.01,"1,549,916",26.75,8.79,
33,삼성화재,"194,500","2,000",+1.04%,500,"92,144","47,375",49.93,"50,389",8.52,7.09,
34,KT,"35,000",200,+0.57%,"5,000","91,389","261,112",44.36,"591,547",6.35,9.36,
35,삼성에스디에스,"117,000","1,500",+1.30%,500,"90,532","77,378",13.60,"199,642",11.90,8.80,
36,LG생활건강,"575,000",0,0.00%,"5,000","89,805","15,618",37.41,"42,287",17.07,16.65,
37,삼성전기,"119,500",500,+0.42%,"5,000","89,259","74,694",26.38,"285,780",8.99,14.29,
38,크래프톤,"179,500","2,500",-1.37%,100,"88,084","49,072",29.31,"159,979",13.94,17.86,
39,우리금융지주,"11,700",150,-1.27%,"5,000","85,183","728,061",40.62,"2,091,297",2.90,10.59,
